"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2279","Check create course page","LMS system","2026-07-15","passed","2026-07-15","Courses","Courses","",""
"","2052","Registration with correct email, username and password","LMS system","2026-07-15","passed","2026-07-15","Registration","Authentication","",""
"","3312","User login with correct email and password","LMS system","2026-07-15","passed","2026-07-15","Authorization","Authentication","",""
"","1508","User login with wrong email or password","LMS system","2026-07-15","passed","2026-07-15","Authorization","Authentication","",""
"","1423","User login with wrong email or password","LMS system","2026-07-15","passed","2026-07-15","Authorization","Authentication","",""
"","2654","Check create course page","LMS system","2026-07-15","passed","2026-07-15","Courses","Courses","",""
"","1776","Check displaying of empty courses list ","LMS system","2026-07-15","passed","2026-07-15","Courses","Courses","",""
"","2560","Check create course page","LMS system","2026-07-15","passed","2026-07-15","Courses","Courses","",""
"","2941","Check update (edit) course page","LMS system","2026-07-15","passed","2026-07-15","Courses","Courses","",""
"","1753","Registration with correct email, username and password","LMS system","2026-07-15","passed","2026-07-15","Registration","Authentication","",""
"","4994","User login with wrong email or password","LMS system","2026-07-15","passed","2026-07-15","Authorization","Authentication","",""
"","1963","User login with wrong email or password","LMS system","2026-07-15","passed","2026-07-15","Authorization","Authentication","",""
"","2472","Check create course page","LMS system","2026-07-15","passed","2026-07-15","Courses","Courses","",""
"","1805","Check displaying of empty courses list ","LMS system","2026-07-15","passed","2026-07-15","Courses","Courses","",""
"","1841","Registration with correct email, username and password","LMS system","2026-07-15","passed","2026-07-15","Registration","Authentication","",""
"","2875","User login with correct email and password","LMS system","2026-07-15","passed","2026-07-15","Authorization","Authentication","",""
"","3347","User login with correct email and password","LMS system","2026-07-15","passed","2026-07-15","Authorization","Authentication","",""
"","1751","User login with wrong email or password","LMS system","2026-07-15","passed","2026-07-15","Authorization","Authentication","",""
"","3421","User login with correct email and password","LMS system","2026-07-15","passed","2026-07-15","Authorization","Authentication","",""
"","1859","Navigation from login page to registration page","LMS system","2026-07-15","passed","2026-07-15","Authorization","Authentication","",""
"","1763","Check displaying dashboard page","LMS system","2026-07-15","passed","2026-07-15","Dashboard","Dashboard","",""
"","1688","Navigation from login page to registration page","LMS system","2026-07-15","passed","2026-07-15","Authorization","Authentication","",""
"","1668","Registration with correct email, username and password","LMS system","2026-07-15","passed","2026-07-15","Registration","Authentication","",""
"","7119","User login with correct email and password","LMS system","2026-07-15","passed","2026-07-15","Authorization","Authentication","",""
"","1871","Registration with correct email, username and password","LMS system","2026-07-15","passed","2026-07-15","Registration","Authentication","",""
"","1396","User login with wrong email or password","LMS system","2026-07-15","passed","2026-07-15","Authorization","Authentication","",""
"","2715","Check create course page","LMS system","2026-07-15","passed","2026-07-15","Courses","Courses","",""
"","1401","User login with wrong email or password","LMS system","2026-07-15","passed","2026-07-15","Authorization","Authentication","",""
"","3199","Check update (edit) course page","LMS system","2026-07-15","passed","2026-07-15","Courses","Courses","",""
"","2125","Registration with correct email, username and password","LMS system","2026-07-15","passed","2026-07-15","Registration","Authentication","",""
"","1833","Check displaying dashboard page","LMS system","2026-07-15","passed","2026-07-15","Dashboard","Dashboard","",""
"","1519","Navigation from login page to registration page","LMS system","2026-07-15","passed","2026-07-15","Authorization","Authentication","",""
"","2575","Registration with correct email, username and password","LMS system","2026-07-15","passed","2026-07-15","Registration","Authentication","",""
"","2134","Check create course page","LMS system","2026-07-15","passed","2026-07-15","Courses","Courses","",""
"","1830","Registration with correct email, username and password","LMS system","2026-07-15","passed","2026-07-15","Registration","Authentication","",""
"","3684","User login with correct email and password","LMS system","2026-07-15","passed","2026-07-15","Authorization","Authentication","",""
"","1428","User login with wrong email or password","LMS system","2026-07-15","passed","2026-07-15","Authorization","Authentication","",""
"","3882","Check update (edit) course page","LMS system","2026-07-15","passed","2026-07-15","Courses","Courses","",""
"","1577","Check displaying dashboard page","LMS system","2026-07-15","passed","2026-07-15","Dashboard","Dashboard","",""
"","1428","User login with wrong email or password","LMS system","2026-07-15","passed","2026-07-15","Authorization","Authentication","",""
"","2048","User login with correct email and password","LMS system","2026-07-15","passed","2026-07-15","Authorization","Authentication","",""
"","1789","Registration with correct email, username and password","LMS system","2026-07-15","passed","2026-07-15","Registration","Authentication","",""
"","1371","Check displaying of empty courses list ","LMS system","2026-07-15","passed","2026-07-15","Courses","Courses","",""
"","2312","User login with correct email and password","LMS system","2026-07-15","passed","2026-07-15","Authorization","Authentication","",""
"","3358","User login with correct email and password","LMS system","2026-07-15","passed","2026-07-15","Authorization","Authentication","",""
