"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1465","User login with wrong email or password","LMS system","2026-07-14","passed","2026-07-14","Authorization","Authentication","",""
"","1744","Registration with correct email, username and password","LMS system","2026-07-14","passed","2026-07-14","Registration","Authentication","",""
"","2401","User login with correct email and password","LMS system","2026-07-14","passed","2026-07-14","Authorization","Authentication","",""
"","1703","Registration with correct email, username and password","LMS system","2026-07-14","passed","2026-07-14","Registration","Authentication","",""
"","1618","User login with wrong email or password","LMS system","2026-07-14","passed","2026-07-14","Authorization","Authentication","",""
"","7739","User login with correct email and password","LMS system","2026-07-14","passed","2026-07-14","Authorization","Authentication","",""
"","1619","User login with wrong email or password","LMS system","2026-07-14","passed","2026-07-14","Authorization","Authentication","",""
"","3026","Check update (edit) course page","LMS system","2026-07-14","passed","2026-07-14","Courses","Courses","",""
"","2004","Registration with correct email, username and password","LMS system","2026-07-14","passed","2026-07-14","Registration","Authentication","",""
"","2415","Check create course page","LMS system","2026-07-14","passed","2026-07-14","Courses","Courses","",""
"","1566","Check displaying dashboard page","LMS system","2026-07-14","passed","2026-07-14","Dashboard","Dashboard","",""
"","4839","Registration with correct email, username and password","LMS system","2026-07-14","passed","2026-07-14","Registration","Authentication","",""
"","1685","Check displaying of empty courses list ","LMS system","2026-07-14","passed","2026-07-14","Courses","Courses","",""
"","1670","Check displaying dashboard page","LMS system","2026-07-14","passed","2026-07-14","Dashboard","Dashboard","",""
"","1392","Check displaying dashboard page","LMS system","2026-07-14","passed","2026-07-14","Dashboard","Dashboard","",""
"","1885","User login with wrong email or password","LMS system","2026-07-14","passed","2026-07-14","Authorization","Authentication","",""
"","2211","Check create course page","LMS system","2026-07-14","passed","2026-07-14","Courses","Courses","",""
"","3536","User login with correct email and password","LMS system","2026-07-14","passed","2026-07-14","Authorization","Authentication","",""
"","3439","User login with correct email and password","LMS system","2026-07-14","passed","2026-07-14","Authorization","Authentication","",""
"","1882","User login with wrong email or password","LMS system","2026-07-14","passed","2026-07-14","Authorization","Authentication","",""
"","3338","User login with correct email and password","LMS system","2026-07-14","passed","2026-07-14","Authorization","Authentication","",""
"","3251","User login with correct email and password","LMS system","2026-07-14","passed","2026-07-14","Authorization","Authentication","",""
"","1802","Registration with correct email, username and password","LMS system","2026-07-14","passed","2026-07-14","Registration","Authentication","",""
"","3229","User login with correct email and password","LMS system","2026-07-14","passed","2026-07-14","Authorization","Authentication","",""
"","1432","User login with wrong email or password","LMS system","2026-07-14","passed","2026-07-14","Authorization","Authentication","",""
"","2669","Check create course page","LMS system","2026-07-14","passed","2026-07-14","Courses","Courses","",""
"","1424","User login with wrong email or password","LMS system","2026-07-14","passed","2026-07-14","Authorization","Authentication","",""
"","2561","Check create course page","LMS system","2026-07-14","passed","2026-07-14","Courses","Courses","",""
"","2107","Navigation from login page to registration page","LMS system","2026-07-14","passed","2026-07-14","Authorization","Authentication","",""
"","1523","User login with wrong email or password","LMS system","2026-07-14","passed","2026-07-14","Authorization","Authentication","",""
"","1616","Check displaying of empty courses list ","LMS system","2026-07-14","passed","2026-07-14","Courses","Courses","",""
"","3087","User login with correct email and password","LMS system","2026-07-14","passed","2026-07-14","Authorization","Authentication","",""
"","3837","Check update (edit) course page","LMS system","2026-07-14","passed","2026-07-14","Courses","Courses","",""
"","1291","Check displaying of empty courses list ","LMS system","2026-07-14","passed","2026-07-14","Courses","Courses","",""
"","3978","User login with correct email and password","LMS system","2026-07-14","passed","2026-07-14","Authorization","Authentication","",""
"","1538","Registration with correct email, username and password","LMS system","2026-07-14","passed","2026-07-14","Registration","Authentication","",""
"","2923","Check create course page","LMS system","2026-07-14","passed","2026-07-14","Courses","Courses","",""
"","1474","User login with wrong email or password","LMS system","2026-07-14","passed","2026-07-14","Authorization","Authentication","",""
"","1421","Registration with correct email, username and password","LMS system","2026-07-14","passed","2026-07-14","Registration","Authentication","",""
"","2894","Check update (edit) course page","LMS system","2026-07-14","passed","2026-07-14","Courses","Courses","",""
"","1808","Navigation from login page to registration page","LMS system","2026-07-14","passed","2026-07-14","Authorization","Authentication","",""
"","1370","Navigation from login page to registration page","LMS system","2026-07-14","passed","2026-07-14","Authorization","Authentication","",""
"","2553","Check create course page","LMS system","2026-07-14","passed","2026-07-14","Courses","Courses","",""
"","2000","Registration with correct email, username and password","LMS system","2026-07-14","passed","2026-07-14","Registration","Authentication","",""
"","1638","Registration with correct email, username and password","LMS system","2026-07-14","passed","2026-07-14","Registration","Authentication","",""
